snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-06-12T11:55:27.943529+00:00,214378880,Bluejeans,L,2039599361474,Остальные склады,0,1,0
2026-06-12T11:55:27.943529+00:00,367953586,Poloblue,M,2043320637530,Коледино,2,0,0
2026-06-12T11:55:27.943529+00:00,367953586,Poloblue,M,2043320637530,Радумля 1,0,0,0
2026-06-12T11:55:27.943529+00:00,532147674,Maxiblack,S,2046105120999,Сарапул,2,0,0
2026-06-12T11:55:27.943529+00:00,540151286,jacket,XXL,2049839732407,Краснодар,2,0,0
2026-06-12T11:55:27.943529+00:00,53471668,Volanpink,140,2016422441053,Екатеринбург - Перспективная 14,0,1,0
2026-06-12T11:55:27.943529+00:00,151755830,Nutabezh,L,2037603655151,Электросталь,0,1,0
2026-06-12T11:55:27.943529+00:00,367954936,Polobezh,S,2043320641278,Остальные склады,0,0,2
2026-06-12T11:55:27.943529+00:00,367954936,Polobezh,S,2043320641278,СЦ Шушары,0,0,1
2026-06-12T11:55:27.943529+00:00,419352159,Rusha,L,2044026229913,Остальные склады,0,1,1
2026-06-12T11:55:27.943529+00:00,138556432,Ornella,XXXL,2037247885020,СЦ Кемерово,0,0,0
2026-06-12T11:55:27.943529+00:00,138556432,Ornella,XXXL,2037247885020,Екатеринбург - Перспективная 14,1,0,0
2026-06-12T11:55:27.943529+00:00,182674292,Pants52,XXL,2038797035101,Тула,3,0,0
2026-06-12T11:55:27.943529+00:00,92392542,Pants_92392542_92392542,128,2036704264729,Коледино,4,0,0
2026-06-12T11:55:27.943529+00:00,92392542,Pants_92392542_92392542,128,2036704264729,Подольск,0,0,0
2026-06-12T11:55:27.943529+00:00,168745949,Rubchikwhite,XXL,2038151831011,Тула,0,1,0
2026-06-12T11:55:27.943529+00:00,384578439,Dressbraun,S,2043547518612,Артём,0,1,0
2026-06-12T11:55:27.943529+00:00,314335767,Gold,хл,2042535684711,Воронеж,0,0,0
2026-06-12T11:55:27.943529+00:00,314335767,Gold,хл,2042535684711,СЦ Софьино,0,1,0
2026-06-12T11:55:27.943529+00:00,367953586,Poloblue,S,2043320637547,СЦ Шушары,0,0,1
2026-06-12T11:55:27.943529+00:00,367953586,Poloblue,S,2043320637547,Остальные склады,0,0,0
2026-06-12T11:55:27.943529+00:00,357265722,Dressbordo,S,2043177808701,СЦ Курск,0,0,0
2026-06-12T11:55:27.943529+00:00,357265722,Dressbordo,M,2043177808718,Тула,0,0,0
2026-06-12T11:55:27.943529+00:00,357265722,Dressbordo,L,2043177808725,СЦ Брянск 2,0,1,0
2026-06-12T11:55:27.943529+00:00,357265722,Dressbordo,M,2043177808718,СЦ Иркутск,0,0,0
2026-06-12T11:55:27.943529+00:00,357265722,Dressbordo,L,2043177808725,СЦ Ярославль Громова,0,0,0
2026-06-12T11:55:27.943529+00:00,359686661,Dressblack,M,2043193437961,Электросталь,0,1,0
2026-06-12T11:55:27.943529+00:00,359686661,Dressblack,S,2043193437978,СЦ Шушары,0,0,1
2026-06-12T11:55:27.943529+00:00,459228187,Amanew,XXL,2044712208864,Краснодар,2,0,0
2026-06-12T11:55:27.943529+00:00,459228187,Amanew,XXL,2044712208864,СЦ Пятигорск,0,1,0
2026-06-12T11:55:27.943529+00:00,403141242,Estiliowhite,ONE SIZE,2043834050429,Остальные склады,0,1,1
2026-06-12T11:55:27.943529+00:00,403141242,Estiliowhite,ONE SIZE,2043834050429,СЦ Шушары,0,0,1
2026-06-12T11:55:27.943529+00:00,359710654,Dressgrey,XS,2044431232577,Краснодар,1,1,0
2026-06-12T11:55:27.943529+00:00,612434640,Milanablack,L,2047246194573,СЦ Ярославль Громова,0,0,0
2026-06-12T11:55:27.943529+00:00,612434640,Milanablack,L,2047246194573,Владимир,3,0,0
2026-06-12T11:55:27.943529+00:00,459228187,Amanew,L,2044712208840,СПБ Шушары,1,0,0
2026-06-12T11:55:27.943529+00:00,459228187,Amanew,L,2044712208840,СЦ Шушары,0,0,0
2026-06-12T11:55:27.943529+00:00,540151286,jacket,L,2046237586823,СЦ Внуково,0,1,0
2026-06-12T11:55:27.943529+00:00,1017464481,Dressgepur,XS,2051139387737,Остальные склады,0,3,1
